"","screenName","latitude","longitude"
"1664","Dharmen58058035",28.5909558,77.2127623
"2048","prof_ndeligia",50.81847258,4.39218025
"4178","AmedeoColace",41.47620648,74.52279951
"4639","EricaEricapitts",34.04432993,-118.32662165
"5173","vahosinaroma",22.15311585,-100.96419833
"5545","nicktedd",51.51541916,-0.12847039
"5995","evie720",45.4667,9.2
