"Username","Indegree"
"@drharshvardhan",126
"@moefcc",45
"@ndtv",35
"@DelhiBreathe",27
"@DrHarshVardhan",25
"@greenpeaceindia",10
"@misskaul",10
"@airqualityindia",9
"@sherryfrosh",7
"@narendramodi",6
"@Jhatkaa",4
"@PMOIndia",4
"@imVkohli",4
"@ArvindKejriwal",4
"@manya_group",3
"@LetMeBreathe_In",3
"@manishanataraj",3
"@UNICEF",2
"@i_Chanakya",2
"@pallavipnt<U+2026>",2
