"Username","Indegree"
"@ArvindKejriwal",917
"@_garrywalia",692
"@rjraunac",589
"@SirJadeja",232
"@drharshvardhan",204
"@UNICEF_Mongolia",158
"@TroluKejri",130
"@greenpeaceindia",112
"@<U+2026>",102
"@moefcc",100
"@ndtv",94
"@SkymetWeather",91
"@BhushanTuladhar",65
"@deespeak",64
"@UNICEF",58
"@UNICEFIndia",55
"@c40cities",54
"@nishtha_khare",52
"@DelhiBreathe",48
"@narendramodi",43
