"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"7692",7692,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:59",FALSE,NA,937914173010337792,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SunitaGaguli",71,TRUE,FALSE,NA,NA
"7693",7693,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:59",FALSE,NA,937914172934721536,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SinghDeepika126",71,TRUE,FALSE,NA,NA
"7694",7694,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:59",FALSE,NA,937914172901179392,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Sonali123Kadam",71,TRUE,FALSE,NA,NA
"7695",7695,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:59",FALSE,NA,937914172892778496,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","UnnatiPathak456",71,TRUE,FALSE,NA,NA
"7696",7696,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:59",FALSE,NA,937914172762812416,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sharmadeepikaa1",71,TRUE,FALSE,NA,NA
"7697",7697,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:59",FALSE,NA,937914172733407232,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SaritaNaik232",71,TRUE,FALSE,NA,NA
"7698",7698,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:59",FALSE,NA,937914172670558208,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sakshi_Sinha654",71,TRUE,FALSE,NA,NA
"7699",7699,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:59",FALSE,NA,937914172603428864,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","riya_rakesh",71,TRUE,FALSE,NA,NA
"7700",7700,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:59",FALSE,NA,937914172599234560,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RekhaZade",71,TRUE,FALSE,NA,NA
"7701",7701,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:59",FALSE,NA,937914172582457344,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ReenaVishal209",71,TRUE,FALSE,NA,NA
